"en", "pt", "fr"
"Enter a valid e-mail", "Entre um e-mail valido", "Entrez un e-mail valide"
"Mandatory name", "Nome obrigatório", "Nom obligatoire"
"Mandatory e-mail", "E-mail obrigatório", "E-mail obligatoire"
"Mandatory password", "Senha obrigatória", "Mot de passe obligatoire"
"At least 6 digits", "No mínimo 6 dígitos", "Au moins 6 chiffres"
"Registration completed", "Cadastro realizado!", "Inscription terminée"
"Make your registration", "Faça seu cadastro", "Faites votre inscription"
"Registration error", "Erro no cadastro", "Erreur d'enregistrement"
"An error occurred while registering, please try again.", "Ocorreu um erro ao fazer cadastro, tente novamente.", "Une erreur s'est produite lors de l'enregistrement, veuillez réessayer."   
"You can now login to Easy Kanban!", "Você já pode fazer seu logon no Easy Kanban!", "Vous pouvez maintenant vous connecter à Easy Kanban!"
"Authentication error", "Erro na autenticação", "Erreur d'authentification"
"There was an error signing in, check credentials", "Ocorreu um erro ao fazer login, cheque as credenciais", "Une erreur s'est produite lors de la connexion, vérifiez les informations d'identification"
"Log in", "Faça seu logon", "Ouverture de session"
"Name", "Nome", "Nom"
"Password", "Senha", "Mot de passe"
"Enter", "Entrar", "Entrez"
"Password Forgot", "Esqueci minha senha", "Mot de passe oublié"
"Create account", "Criar conta", "Créer un compte"
"Register", "Cadastrar", "S'inscrire"
"Back to login", "Voltar para logon", "Retour à la connexion"